x_,y_,t_,day
1784403.0410444501,2408630.6977569168,2011-02-11T18:06:14Z,day
1784412.6819074969,2408639.738376301,2011-02-11T18:10:09Z,day
1784404.582234832,2408630.6844500815,2011-02-11T18:20:59Z,day
1784416.8933997198,2408581.9700620887,2011-02-11T18:41:31Z,day
1784390.3038323857,2408605.854447266,2011-02-11T19:41:11Z,day
1784400.4197225187,2408615.042208261,2011-02-11T19:50:58Z,day
1784323.2167087807,2408583.654476945,2011-02-11T20:01:13Z,day
1784600.708912368,2407685.2059988393,2011-02-14T12:00:14Z,day
1784590.7819986092,2407696.4257610077,2011-02-14T12:10:52Z,day
1784593.0706036324,2407690.479814797,2011-02-14T12:20:22Z,day
1784591.0413463733,2407682.613531673,2011-02-14T12:30:10Z,day
1784589.346227545,2407693.879989137,2011-02-14T12:40:12Z,day
1784573.1011982057,2407685.959843612,2011-02-14T12:50:21Z,day
1784596.0922734512,2407682.0433065975,2011-02-14T13:00:42Z,day
1784589.0792800733,2407696.8371794876,2011-02-14T13:10:18Z,day
1784590.9951653949,2407692.2154400633,2011-02-14T13:20:15Z,day
1784587.4008342489,2407689.042651358,2011-02-14T13:30:14Z,day
1784586.3526372872,2407700.577453574,2011-02-14T13:40:47Z,day
1784589.535949364,2407697.519780121,2011-02-14T13:50:18Z,day
1784578.0794550425,2407697.041024293,2011-02-14T14:00:23Z,day
1784582.4232849947,2407692.6508203177,2011-02-14T14:10:39Z,day
1784586.4929494546,2407703.8265186534,2011-02-14T14:20:20Z,day
1784557.2164625358,2407716.8637664677,2011-02-14T14:30:22Z,day
1784598.7278422955,2407702.962490826,2011-02-14T14:40:47Z,day
1784595.3342753642,2407693.1301475,2011-02-14T14:50:21Z,day
1784597.5470773017,2407702.9005384687,2011-02-14T15:00:21Z,day
1784595.5645956069,2407677.749081041,2011-02-14T15:10:21Z,day
1784600.029949741,2407701.4912873986,2011-02-14T15:20:16Z,day
1784595.9726902097,2407673.527585637,2011-02-14T15:30:17Z,day
1784597.8634505211,2407694.097772406,2011-02-14T15:40:21Z,day
1784598.6852356924,2407690.9161980134,2011-02-14T15:50:18Z,day
1784607.7568735909,2407722.550435894,2011-02-14T16:00:39Z,day
1784608.3765820907,2407691.963857034,2011-02-14T16:10:14Z,day
1784583.2586621158,2407695.7891670987,2011-02-14T16:20:50Z,day
1784612.6000541234,2407688.257170885,2011-02-14T16:30:38Z,day
1784601.8118171918,2407677.7038909085,2011-02-14T16:40:21Z,day
1784597.5821243708,2407691.6191903395,2011-02-14T16:50:23Z,day
1784597.740232491,2407693.701018887,2011-02-14T17:00:20Z,day
1784604.0190763555,2407701.9784115585,2011-02-14T17:10:18Z,day
1784593.8704436528,2407677.7720454335,2011-02-14T17:20:21Z,day
1784588.1649766618,2407698.4003998893,2011-02-14T17:30:48Z,day
1784603.3344040953,2407692.180116619,2011-02-14T17:40:17Z,day
1784596.4632823435,2407685.059988756,2011-02-14T17:50:52Z,day
1784600.255752213,2407737.2169854916,2011-02-14T18:00:46Z,day
1784582.7615526777,2407655.956421728,2011-02-14T18:10:43Z,day
1784594.167553425,2407685.9623709326,2011-02-14T18:21:22Z,day
1784604.359601536,2407689.621052304,2011-02-14T18:30:11Z,day
1784603.5401526894,2407683.385554769,2011-02-14T18:40:18Z,day
1784607.5577144,2407682.202628207,2011-02-14T18:50:22Z,day
1784596.7422843953,2407692.798106902,2011-02-14T19:00:19Z,day
1784599.936293631,2407675.2145636417,2011-02-14T19:10:19Z,day
1784600.081856385,2407675.3409811785,2011-02-14T19:20:17Z,day
1784608.6948527335,2407678.8546955935,2011-02-14T19:30:37Z,day
1784604.4934746213,2407709.2805278944,2011-02-14T19:40:40Z,day
1784585.2105669873,2407671.249665591,2011-02-14T19:50:08Z,day
